t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2023-12-22","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","1000","1200","1000"
"2023-12-15","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","800","1000","900"
"2023-12-14","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","900","1400","900"
"2023-12-13","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","800","1000","900"
"2023-12-12","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","800","1100","1000"
"2023-12-11","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","1000","1300","1200"
"2023-07-28","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","2600","3000","2800"
"2023-07-19","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","2600","3200","3000"
"2023-07-15","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","3000","3500","3200"
"2023-07-13","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","3000","3200","3000"
"2023-07-11","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","2800","3200","3000"
"2023-07-05","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","3300","3700","3500"
"2023-07-04","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","4000","4800","4500"
"2023-06-30","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","3800","4200","4000"
"2023-06-07","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","2200","2400","2300"
"2023-06-03","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","3900","4200","4000"
"2023-06-01","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","1950","2200","2000"
"2023-05-30","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","3000","3200","3000"
"2023-05-24","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","2500","3000","2800"
"2023-05-18","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","2200","3000","2500"
"2023-05-16","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","1900","2500","2000"
"2023-05-10","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","2100","2300","2200"
"2023-04-25","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","1500","1700","1600"
"2023-04-24","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","1500","1700","1600"
"2022-05-31","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","3400","3600","3500"
"2022-05-30","Radish","1886","Hailakandi","18","Assam","318","Hailakandi","Raddish","2500","3000","2750"
"2022-05-24","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","3000","3000","3000"
"2022-05-10","Radish","1886","Hailakandi","18","Assam","318","Hailakandi","Raddish","2500","5000","2700"
"2022-05-09","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","3000","3000","3000"
"2022-04-30","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","3400","3600","3500"
"2022-03-31","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","800","800","800"
"2022-03-23","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","1100","1200","1200"
"2022-03-22","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","1100","1200","1200"
"2022-03-17","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","900","1000","1000"
"2022-03-14","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","900","1000","1000"
"2022-03-13","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","1000","1000","1000"
"2022-03-11","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","1100","1200","1200"
"2022-03-10","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","800","800","800"
"2022-03-09","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","900","1000","1000"
"2022-03-08","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","900","1000","1000"
"2022-03-04","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","800","800","800"
"2022-03-03","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","700","700","700"
"2022-03-02","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","700","800","800"
"2022-03-01","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","1000","1000","1000"
"2022-02-22","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","900","1000","1000"
"2022-02-21","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","900","1000","1000"
"2022-02-20","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","1000","1000","1000"
"2022-02-19","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","700","800","800"
"2022-02-18","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","600","600","600"
"2022-02-17","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","600","600","600"
"2022-02-16","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","700","700","700"
"2022-02-15","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","700","700","700"
"2022-02-14","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","700","700","700"
"2022-02-11","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","700","800","800"
"2022-02-11","Radish","403","Howly","18","Assam","303","Barpeta","Raddish","1000","1200","1100"
"2022-02-10","Radish","403","Howly","18","Assam","303","Barpeta","Raddish","800","1000","900"
"2022-02-10","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","900","1000","1000"
"2022-02-09","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","1000","1000","1000"
"2022-02-09","Radish","403","Howly","18","Assam","303","Barpeta","Raddish","800","1000","900"
"2022-02-07","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","800","800","800"
"2022-02-07","Radish","403","Howly","18","Assam","303","Barpeta","Raddish","800","1000","800"
"2022-02-05","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","600","600","600"
"2022-02-05","Radish","403","Howly","18","Assam","303","Barpeta","Raddish","700","1000","900"
"2022-02-04","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","800","800","800"
"2022-02-04","Radish","403","Howly","18","Assam","303","Barpeta","Raddish","500","600","500"
"2022-02-03","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","800","800","800"
"2022-02-03","Radish","403","Howly","18","Assam","303","Barpeta","Raddish","500","650","500"
"2022-02-02","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","800","800","800"
"2022-02-02","Radish","403","Howly","18","Assam","303","Barpeta","Raddish","700","800","700"
"2022-02-01","Radish","403","Howly","18","Assam","303","Barpeta","Raddish","600","700","600"
"2022-02-01","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","800","800","800"
"2022-01-27","Radish","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Raddish","900","1000","1000"